ukuran_layar;processor_speed;ram;ram_speed;kapasitas_HDD;kapasitas_SSD;weight;harga
14;1;4;3200;1000;0;1.6;16400000
14;1;8;3200;512;0;1.48;6449000
14;2;4;3200;256;0;1.5;21890000
15.6;2;8;2400;1000;0;2.2;8598000
13.3;2;20;1866;0;256;1.36;7800000
14;3;4;2400;512;0;1.55;21199000
14;3;4;3200;1000;0;1.8;23607000
14;3;8;3200;0;512;1.4;8598000
14;3;8;3200;512;0;1.4;12999000
15.6;3;8;2666;1000;0;2.1;8999000
15.6;3;8;3400;1000;0;2.3;9500000
13.4;3;16;3200;1000;0;1.3;11610000
14;4;4;2400;0;512;1.71;22600000
14;4;8;2666;0;512;4;7499000
15.6;4;8;2400;0;512;2.1;7990000
14;1.1;4;2400;500;0;1.8;13750000
14;1.1;4;2400;500;0;1.65;31099000
14;1.1;4;2400;1000;0;1.65;41499000
14;1.1;4;2133;1000;0;1.2;9999000
14;1.1;4;2133;1000;0;1.5;7228000
10.1;1.1;4;2133;128;0;0.594;7399000
11.6;1.1;4;2400;128;0;1.49;8688000
11.6;1.1;4;2400;128;0;1.4;5549000
11.6;1.1;4;2400;500;0;1.25;33749000
15.6;1.1;4;2400;256;0;1.9;36875000
13.3;1.1;8;3733;256;0;1.29;3370000
13.5;1.1;8;2400;0;1000;1.2;8749000
13.3;1.1;16;3733;512;0;1.25;13950000
14;1.2;4;3200;0;512;1.48;7768950
12;1.2;18;1600;500;0;0.92;7625000
13.3;1.4;12;2133;0;128;1.37;12720000
14;1.5;4;1333;500;0;1.65;7599000
13;1.5;8;2133;128;0;1.25;10990000
13;1.5;8;2133;128;0;1.25;8599000
14;1.6;4;2400;1000;0;1.6;7799000
14;1.6;4;2400;1000;0;1.6;15270000
14;1.6;4;2400;1000;0;1.75;7000000
14;1.6;4;2133;1000;0;2.1;8450000
14;1.6;4;2133;1000;0;2.1;6528000
14;1.6;4;2400;1000;0;2.1;15799000
14;1.6;8;2400;1000;0;2.1;8134000
14;1.6;8;2400;1000;0;1.7;8134000
13.3;1.6;8;2133;512;0;1.75;13599000
13.3;1.6;8;2133;512;0;1.75;8499000
15.6;1.6;8;2400;256;0;1.59;8990000
15.6;1.6;8;2400;1000;0;1.8;14000000
15.6;1.6;8;2400;1000;0;1.8;13999000
13.3;1.6;16;1600;0;256;3.5;14950000
14;1.8;4;2133;1000;0;1.43;11305000
14;1.8;4;1866;1000;0;1.9;8790000
15.6;1.8;16;2400;0;512;2;10300000
13.3;1.8;18;1600;0;128;1.35;7625000
13.3;1.8;18;1600;0;256;1.35;8064000
14;2.1;4;2666;512;0;1.6;8400000
14;2.1;4;2666;512;0;1.6;8160000
15.6;2.1;4;2666;1000;0;1.9;8160000
14;2.1;8;2400;0;512;1.47;9699000
14;2.1;8;2400;512;0;1.9;13999000
14;2.1;8;2400;1000;0;1.7;9993000
15.6;2.1;8;2400;1000;0;2.7;8575000
15.6;2.1;8;2400;1000;0;2.2;5694000
15.6;2.1;8;2666;1000;0;2.2;4500000
13.3;2.1;16;3200;512;0;1.36;8400000
14;2.2;2;1600;500;0;1.79;9899000
15.6;2.2;4;2133;1000;128;2.1;12953000
15.6;2.2;4;2400;1000;0;1.8;10230000
15.4;2.2;8;1600;0;256;2.4;4500000
15.6;2.2;8;2133;1000;0;2.7;8220000
13;2.2;20;2133;0;256;1.4;7277000
14;2.3;2;1866;0;128;1.47;15500000
14;2.3;4;2400;0;256;2;9990000
14;2.3;4;2166;0;512;1.2;5016000
14;2.3;4;2400;0;512;1.5;7600000
14;2.3;4;2400;256;0;1.9;7600000
14;2.3;4;2400;512;0;1.4;8055000
14;2.3;4;2133;1000;0;2.1;13410000
14;2.3;4;2400;1000;0;1.5;16350000
14;2.3;4;1866;1000;0;1.47;4999000
14;2.3;4;2133;1000;0;1.55;4899000
14;2.3;8;2400;512;0;1.47;8359000
16;2.3;16;2666;1000;0;2;8410000
15.6;2.3;16;2400;256;0;2.2;8340000
15.6;2.3;16;2400;256;0;2.2;5585000
11.6;2.4;2;2166;500;256;1.25;3799000
14;2.4;4;1600;0;0;1.95;4999000
14;2.4;4;2666;256;0;1.47;12999000
14;2.4;4;2666;320;0;1.76;5650000
14;2.4;4;2400;512;0;1.6;6899000
15.6;2.4;4;3200;512;0;1.83;8699000
14;2.4;8;2400;512;0;1.47;7950000
14;2.4;8;2666;512;0;1.18;8500000
15.6;2.4;8;3200;1000;512;2.19;6367000
14;2.5;4;2166;1000;0;1.5;8399000
14;2.5;4;2166;1000;0;2.1;2715000
14;2.5;4;3200;1000;0;2.1;4340000
14;2.5;4;2400;1000;0;1.49;2999000
14;2.5;4;2666;1000;0;1.47;4092000
15.6;2.5;4;2166;1000;0;2.18;3700000
15.4;2.5;8;1600;0;512;2.04;7950000
15.6;2.5;8;3200;512;0;2.3;8800000
15.6;2.5;8;1866;512;0;1.77;9345000
13.3;2.5;20;2133;0;256;1.37;4500000
11;2.6;4;2400;500;128;1.44;4687000
14;2.6;4;2400;1000;0;1.5;18975000
14;2.6;8;3200;0;512;1.5;9999000
14;2.6;8;2400;0;512;1.55;35490000
14;2.6;8;2400;0;512;1.55;4500000
14;2.6;8;2400;512;0;1.47;28000000
16;2.6;16;2666;512;0;2;4793000
15.6;2.6;16;2933;512;0;2.2;6299000
15.6;2.6;16;2133;1000;0;2.57;5100000
15.6;2.7;4;2133;1000;0;2.2;4659000
13.3;2.7;20;1866;0;256;1.58;14999000
14;2.8;4;2133;0;256;1.5;3510000
14;2.8;8;2400;512;0;1.6;6549000
15.6;2.8;8;2400;1000;128;2.5;4399000
15.6;2.8;8;2133;1000;0;2.5;7332000
15.6;2.8;16;2133;0;256;1.83;5455000
15.6;2.8;16;2133;1000;128;2.5;8799000
15.6;2.9;16;2133;0;512;1.83;5595000
13.3;2.9;18;1866;0;256;1.58;7800000
15.6;2.9;32;3200;1000;0;2.3;13584000
14;3.1;4;2133;1000;0;1.7;8900000
14;3.1;4;1866;1000;0;1.5;13769000
14;3.1;4;2666;1000;0;2.1;33299000
14;3.1;8;1866;1000;0;1.47;6600000
14;3.4;4;2666;0;512;1.4;32229000
14;3.4;4;2666;0;512;1.6;7150000
14;3.4;4;2133;1000;0;1.75;8888000
15.6;3.4;8;2400;1000;0;2.18;8600000
14;3.5;8;2133;1000;0;4.4;3650000
15.6;3.7;8;3200;1000;512;2.25;8089000
14;3.9;16;3400;0;512;1.39;8200000
15.6;4.1;4;2400;0;256;1.6;8599000
15.6;4.2;8;3200;0;512;2.32;8363000
15.4;4.8;16;2400;512;0;1.83;5660000
